,Year,ant/green,Cumulative mass balance (Gt),Cumulative mass balance uncertainty (Gt)
611,2013.9167,Greenland,-3240.5534,386.3217
612,2014.0,Greenland,-3255.0857,387.0657
613,2014.0833,Greenland,-3269.3662,387.7564
614,2014.1667,Greenland,-3284.0111,388.4795
615,2014.25,Greenland,-3299.0951,389.1975
616,2014.3333,Greenland,-3314.2035,389.9169
617,2014.4167,Greenland,-3329.4778,390.6279
618,2014.5,Greenland,-3344.9152,391.3316
619,2014.5833,Greenland,-3360.424,392.0339
620,2014.6667,Greenland,-3376.0055,392.7307
621,2014.75,Greenland,-3391.5351,393.4236
622,2014.8333,Greenland,-3407.1082,394.1277
623,2014.9167,Greenland,-3422.5646,394.8527
624,2015.0,Greenland,-3439.9679,395.5823
625,2015.0833,Greenland,-3454.8015,396.2516
626,2015.1667,Greenland,-3469.902,396.9802
627,2015.25,Greenland,-3485.0281,397.7099
628,2015.3333,Greenland,-3500.2853,398.4411
629,2015.4167,Greenland,-3515.7209,399.1683
630,2015.5,Greenland,-3531.3332,399.9032
631,2015.5833,Greenland,-3546.9621,400.6414
632,2015.6667,Greenland,-3562.5827,401.379
633,2015.75,Greenland,-3578.0927,402.1199
634,2015.8333,Greenland,-3593.3653,402.8577
635,2015.9167,Greenland,-3608.298,403.5687
636,2016.0,Greenland,-3622.0834,404.2555
637,2016.0833,Greenland,-3635.8925,404.9313
638,2016.1667,Greenland,-3649.8547,405.6065
639,2016.25,Greenland,-3664.0257,406.2712
640,2016.3333,Greenland,-3678.3884,406.9335
641,2016.4167,Greenland,-3692.9256,407.6005
642,2016.5,Greenland,-3707.4691,408.2679
643,2016.5833,Greenland,-3722.0493,408.9494
644,2016.6667,Greenland,-3736.4828,409.6386
645,2016.75,Greenland,-3750.7313,410.3369
646,2016.8333,Greenland,-3764.3483,411.0239
647,2016.9167,Greenland,-3777.9259,411.7076
648,2017.0,Greenland,-3785.172,412.3067
649,2017.0833,Greenland,-3792.1711,412.9005
650,2017.1667,Greenland,-3799.2376,413.5062
651,2017.25,Greenland,-3806.4998,414.1125
652,2017.3333,Greenland,-3813.8763,414.6968
653,2017.4167,Greenland,-3821.2963,415.2624
654,2017.5,Greenland,-3828.6998,415.8271
655,2017.5833,Greenland,-3836.013,416.384
656,2017.6667,Greenland,-3843.2684,416.9346
657,2017.75,Greenland,-3850.4356,417.4715
658,2017.8333,Greenland,-3857.5479,417.9923
659,2017.9167,Greenland,-3864.4166,418.4534
660,2018.0,Greenland,-3874.0095,419.1395
661,2018.0833,Greenland,-3884.6054,419.6764
662,2018.1667,Greenland,-3895.8809,420.2467
663,2018.25,Greenland,-3907.4445,421.0341
664,2018.3333,Greenland,-3919.2078,421.9591
665,2018.4167,Greenland,-3931.2158,422.9458
666,2018.5,Greenland,-3943.5331,423.888
667,2018.5833,Greenland,-3963.9834,425.2304
668,2018.6667,Greenland,-3984.5628,426.5454
669,2018.75,Greenland,-4005.6782,427.8368
670,2018.8333,Greenland,-4027.579,429.0739
671,2018.9167,Greenland,-4050.6422,430.2358
672,2019.0,Greenland,-4088.0242,431.2517
673,2019.0833,Greenland,-4124.9166,432.079
674,2019.1667,Greenland,-4161.9672,432.8982
675,2019.25,Greenland,-4199.0471,433.7081
676,2019.3333,Greenland,-4236.0802,434.5151
677,2019.4167,Greenland,-4273.0419,435.3269
678,2019.5,Greenland,-4310.0035,436.1372
679,2019.5833,Greenland,-4346.9652,436.946
680,2019.6667,Greenland,-4383.9269,437.7533
681,2019.75,Greenland,-4420.9525,438.5664
682,2019.8333,Greenland,-4457.9781,439.378
683,2019.9167,Greenland,-4495.0934,440.1941
684,2020.0,Greenland,-4532.2088,441.0087
685,2020.0833,Greenland,-4564.9526,442.4564
686,2020.1667,Greenland,-4597.6965,443.8994
687,2020.25,Greenland,-4630.4403,445.3378
688,2020.3333,Greenland,-4663.1841,446.7715
689,2020.4167,Greenland,-4695.928,448.2006
690,2020.5,Greenland,-4728.6718,449.6252
691,2020.5833,Greenland,-4761.4156,451.0452
692,2020.6667,Greenland,-4794.1595,452.4609
693,2020.75,Greenland,-4826.9033,453.8721
694,2020.8333,Greenland,-4859.6471,455.2789
695,2020.9167,Greenland,-4892.391,456.6814
