,Decades,NH_max,NH_min,SH_max,SH_min
0,1981-1990,16.099199999999996,15.628499999999999,15.217399999999998,14.7822
1,1991-2000,6.8396,6.458799999999999,5.361,4.3743
2,2001-2010,18.517500000000005,18.7915,18.8287,18.9317
3,2011-2020,2.7775000000000003,2.6945,3.0568999999999997,2.8503
